date,price
Sun Jan 14 19:54:22 2018,13801
Sun Jan 14 19:49:22 2018,13815.3
Sun Jan 14 19:44:21 2018,13824.9
Sun Jan 14 19:39:21 2018,13783
Sun Jan 14 19:34:21 2018,13746.4
Sun Jan 14 19:29:22 2018,13750.7
Sun Jan 14 19:24:22 2018,13782.5
Sun Jan 14 19:19:21 2018,13742.1
Sun Jan 14 19:14:22 2018,13743.5
Sun Jan 14 19:09:21 2018,13748.8
Sun Jan 14 19:04:21 2018,13739.2
Sun Jan 14 18:59:21 2018,13732
Sun Jan 14 18:54:22 2018,13730.8
Sun Jan 14 18:49:21 2018,13704.6
Sun Jan 14 18:44:22 2018,13724.8
Sun Jan 14 18:39:21 2018,13733.1
Sun Jan 14 18:34:21 2018,13718.6
Sun Jan 14 18:29:21 2018,13662.3
Sun Jan 14 18:24:22 2018,13666.7
Sun Jan 14 18:19:22 2018,13681.2
Sun Jan 14 18:14:21 2018,13739.1
Sun Jan 14 18:09:21 2018,13816.4
Sun Jan 14 18:04:20 2018,13852.8
Sun Jan 14 17:59:20 2018,13843.7
Sun Jan 14 17:54:22 2018,13867.8
Sun Jan 14 17:49:21 2018,13919.7
Sun Jan 14 17:44:22 2018,13981.6
Sun Jan 14 17:39:21 2018,13976.8
Sun Jan 14 17:34:21 2018,13968.6
Sun Jan 14 17:29:21 2018,13968.4
Sun Jan 14 17:24:21 2018,13971.7
Sun Jan 14 17:19:21 2018,13944.2
Sun Jan 14 17:14:22 2018,13955.4
Sun Jan 14 17:09:22 2018,13946.5
Sun Jan 14 17:04:22 2018,13953.5
Sun Jan 14 16:59:20 2018,13950.5
Sun Jan 14 16:54:21 2018,13933.9
Sun Jan 14 16:49:22 2018,13937.4
Sun Jan 14 16:44:20 2018,13930.9
Sun Jan 14 16:39:21 2018,13967
Sun Jan 14 16:34:21 2018,13972.1
Sun Jan 14 16:29:22 2018,13965.3
Sun Jan 14 16:24:21 2018,14005.8
Sun Jan 14 16:19:21 2018,14057.8
Sun Jan 14 16:14:22 2018,14076.8
Sun Jan 14 16:09:21 2018,14071.5
Sun Jan 14 16:04:22 2018,14062.5
Sun Jan 14 15:59:22 2018,14062.6
Sun Jan 14 15:54:22 2018,14058.4
Sun Jan 14 15:49:21 2018,14058.2
Sun Jan 14 15:44:21 2018,14056.6
Sun Jan 14 15:39:22 2018,14058.5
Sun Jan 14 15:34:22 2018,14060.9
