date,price
Mon Jan 15 05:49:10 2018,1328.45
Mon Jan 15 05:44:10 2018,1328.11
Mon Jan 15 05:39:10 2018,1325.97
Mon Jan 15 05:34:09 2018,1325.41
Mon Jan 15 05:29:09 2018,1328.56
Mon Jan 15 05:24:09 2018,1330.66
Mon Jan 15 05:19:10 2018,1332.5
Mon Jan 15 05:14:09 2018,1328.43
Mon Jan 15 05:09:09 2018,1325.32
Mon Jan 15 05:04:10 2018,1327.01
Mon Jan 15 04:59:09 2018,1328.37
Mon Jan 15 04:54:09 2018,1329.5
Mon Jan 15 04:49:10 2018,1332.52
Mon Jan 15 04:44:09 2018,1333.95
Mon Jan 15 04:39:09 2018,1335.97
Mon Jan 15 04:34:10 2018,1335.5
Mon Jan 15 04:29:11 2018,1337.5
Mon Jan 15 04:24:10 2018,1337
Mon Jan 15 04:19:09 2018,1337.82
Mon Jan 15 04:14:09 2018,1335.53
Mon Jan 15 04:09:10 2018,1333.23
Mon Jan 15 04:04:10 2018,1330.4
Mon Jan 15 03:59:10 2018,1326.49
Mon Jan 15 03:54:10 2018,1325.39
Mon Jan 15 03:49:09 2018,1328.57
Mon Jan 15 03:44:10 2018,1332.33
Mon Jan 15 03:39:11 2018,1335.24
Mon Jan 15 03:34:10 2018,1335.54
Mon Jan 15 03:29:09 2018,1336.76
Mon Jan 15 03:24:10 2018,1336.37
Mon Jan 15 03:19:10 2018,1334.97
Mon Jan 15 03:14:09 2018,1329.86
Mon Jan 15 03:09:10 2018,1326.62
Mon Jan 15 03:04:10 2018,1326.94
Mon Jan 15 02:59:09 2018,1326.9
Mon Jan 15 02:54:11 2018,1322.38
Mon Jan 15 02:49:09 2018,1315.4
Mon Jan 15 02:44:10 2018,1311.79
Mon Jan 15 02:39:09 2018,1311.52
Mon Jan 15 02:34:09 2018,1307.59
Mon Jan 15 02:29:09 2018,1304.53
Mon Jan 15 02:24:10 2018,1302.83
Mon Jan 15 02:19:10 2018,1303.39
Mon Jan 15 02:14:09 2018,1304.44
Mon Jan 15 02:09:10 2018,1308.09
Mon Jan 15 02:04:10 2018,1308.11
Mon Jan 15 01:59:10 2018,1303.33
Mon Jan 15 01:54:10 2018,1298.24
Mon Jan 15 01:49:10 2018,1295.56
Mon Jan 15 01:44:09 2018,1297.96
Mon Jan 15 01:39:09 2018,1299.64
Mon Jan 15 01:34:09 2018,1300.82
Mon Jan 15 01:29:09 2018,1299.84
Mon Jan 15 01:24:10 2018,1295.88
Mon Jan 15 01:19:09 2018,1292.92
Mon Jan 15 01:14:10 2018,1288.44
Mon Jan 15 01:09:09 2018,1288.83
Mon Jan 15 01:04:09 2018,1293.62
Mon Jan 15 00:59:10 2018,1293.02
Mon Jan 15 00:54:09 2018,1289.5
Mon Jan 15 00:49:09 2018,1286.21
