date,price,buy_volume,sell_volume,sum_buy,sum_sell,sum_volume
Mon Jan 15 11:24:22 2018,13736.3,0,1,0,13736.3,-1
Mon Jan 15 11:19:22 2018,13758.2,0,1,0,13758.2,0
Mon Jan 15 11:14:23 2018,13817.5,0,1,0,13817.5,0
Mon Jan 15 11:09:22 2018,13840.7,0,1,0,13840.7,0
Mon Jan 15 11:04:22 2018,13878.3,0,0,0,0,1
Mon Jan 15 10:59:22 2018,13892.7,0,0,0,0,0
Mon Jan 15 10:54:22 2018,13895.9,1,0,13895.9,0,1
Mon Jan 15 10:49:23 2018,13866.9,1,0,13866.9,0,1
Mon Jan 15 10:44:22 2018,13866.2,0,0,0,0,0
Mon Jan 15 10:39:21 2018,13821.5,0,0,0,0,0
Mon Jan 15 10:34:22 2018,13816.1,0,1,0,13816.1,-1
Mon Jan 15 10:29:22 2018,13834.6,0,1,0,13834.6,0
Mon Jan 15 10:24:22 2018,13861.0,0,0,0,0,1
Mon Jan 15 10:19:23 2018,13924.9,0,0,0,0,0
Mon Jan 15 10:14:22 2018,13951.7,1,0,13951.7,0,1
Mon Jan 15 10:09:22 2018,13913.9,1,0,13913.9,0,1
Mon Jan 15 10:04:21 2018,13908.3,1,0,13908.3,0,1
Mon Jan 15 09:59:21 2018,13874.6,1,0,13874.6,0,1
Mon Jan 15 09:54:22 2018,13861.7,1,0,13861.7,0,1
Mon Jan 15 09:49:21 2018,13853.7,1,0,13853.7,0,1
Mon Jan 15 09:44:21 2018,13820.5,1,0,13820.5,0,1
Mon Jan 15 09:39:22 2018,13777.1,0,0,0,0,0
Mon Jan 15 09:34:21 2018,13758.7,0,0,0,0,0
Mon Jan 15 09:29:22 2018,13749.6,0,0,0,0,0
Mon Jan 15 09:24:22 2018,13774.0,0,0,0,0,0
Mon Jan 15 09:19:23 2018,13778.1,0,0,0,0,0
Mon Jan 15 09:14:22 2018,13754.1,0,1,0,13754.1,-1
Mon Jan 15 09:09:22 2018,13762.9,0,0,0,0,1
Mon Jan 15 09:04:22 2018,13767.3,0,0,0,0,0
